,,,66.04,,48,
,,,66.04,,45.72,
,,,66.04,,45.72,
,,,66.04,,43.18,
,,,66,,43.18,
,,,66,,40.64,
,,,66,,39.37,
,,,65,,38.1,
,,,65,,38.1,
,,,64.77,,30.48,
,,,64.77,,30,
,,,64.6,,27.94,
,,,64,,20.32,
,,,64,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63.5,,,
,,,63,,,
,,,63,,,
,,,61.5,,,
,,,61.5,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60,,,
,,,59.69,,,
,,,59.69,,,
,,,59.5,,,
,,,59.5,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58,,,
,,,58,,,
,,,57.5,,,
,,,57.15,,,
,,,57,,,
,,,56,,,
,,,55.88,,,
,,,55.88,,,
,,,55.88,,,
,,,55.88,,,
,,,55,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53,,,
,,,52.07,,,
,,,51.5,,,
,,,50.8,,,
,,,50.8,,,
,,,50.8,,,
,,,49.53,,,
,,,49.53,,,
,,,48.26,,,
,,,48.26,,,
,,,47.5,,,
,,,43.18,,,
,,,43.18,,,
,,,41,,,
