linf,k,m,pop,species
129.06916389990485,0.09582672967225926,0.1564060046110131,tugur,Hucho taimen
129.06935171453063,0.09538861861788946,0.1920559981162746,tugur,Hucho taimen
122.20866222712306,0.09555347015315796,0.12405363563491116,tugur,Hucho taimen
140.53095801890967,0.077482875603171,0.1247104028927335,tugur,Hucho taimen
137.33568186648142,0.08917698877942566,0.13798377851720586,tugur,Hucho taimen
135.40873758219337,0.08755539594477342,0.1490969992703184,tugur,Hucho taimen
132.90712724492843,0.08573049516776626,0.1864403459463051,tugur,Hucho taimen
143.95552525175793,0.07905564646329788,0.11315035956684198,tugur,Hucho taimen
146.69091493554475,0.08285694639832639,0.14277247400424647,tugur,Hucho taimen
141.69789935775358,0.08871138987889395,0.1312573666718251,tugur,Hucho taimen
138.2111695210712,0.09031981375725778,0.13409697266335313,tugur,Hucho taimen
131.43192955300387,0.09105664041383592,0.12617752401464666,tugur,Hucho taimen
131.32909308760918,0.0914461990229829,0.18999813984927064,tugur,Hucho taimen
133.0586540890865,0.08839500566130258,0.16490481341145052,tugur,Hucho taimen
135.3596267633391,0.09193452180155628,0.186493987738638,tugur,Hucho taimen
134.35923193547737,0.09157613838718712,0.16898294063046335,tugur,Hucho taimen
142.83081698025956,0.08457761624891377,0.1391672547903142,tugur,Hucho taimen
130.723445282272,0.09928624154173382,0.11632297161270878,tugur,Hucho taimen
140.84711789843786,0.0799011145818793,0.14698459988597656,tugur,Hucho taimen
130.79913447069583,0.08707220964346535,0.18238682716928223,tugur,Hucho taimen
144.27644092612806,0.087640734257797,0.16960661504432417,tugur,Hucho taimen
142.807717764203,0.08211533133009902,0.12266817228767564,tugur,Hucho taimen
134.67713341726318,0.09431094314834788,0.1812494431448191,tugur,Hucho taimen
130.6801817933207,0.09877530170162244,0.14209164955189743,tugur,Hucho taimen
145.24340950732338,0.08341694260841936,0.15358226268791594,tugur,Hucho taimen
138.1950015747819,0.09174281097988364,0.1655647056362511,tugur,Hucho taimen
137.90887042109154,0.07566591395954364,0.1450895788019295,tugur,Hucho taimen
129.73083716063763,0.08976301971175354,0.1746120897337719,tugur,Hucho taimen
130.14981183232308,0.09373614017777616,0.17647705185224768,tugur,Hucho taimen
139.08650644996237,0.08309120317232836,0.11860262295180021,tugur,Hucho taimen
136.89865872814121,0.09861743251014944,0.1473228500995875,tugur,Hucho taimen
138.9263076499721,0.09142451653889176,0.15927497913508515,tugur,Hucho taimen
138.49244666101018,0.08378513091792426,0.1790056901246132,tugur,Hucho taimen
136.88972574200952,0.08304875886053624,0.18762258585702601,tugur,Hucho taimen
146.06028428231764,0.08690925689615137,0.23779861902746516,tugur,Hucho taimen
148.5286639145383,0.08306705673201745,0.20694195278367336,tugur,Hucho taimen
136.81615677518383,0.0829787738062847,0.18673857797717444,tugur,Hucho taimen
